day,avg_temp
1,-52.5
2,-54.5
3,-56.5
4,-51.5
5,-45.0
6,-51.5
7,-60.0
8,-56.5
9,-51.5
10,-42.0
11,-43.0
12,-49.5
13,-57.5
14,-64.5
15,-68.5
16,-68.0
17,-68.5
18,-64.5
19,-63.5
20,-69.0
21,-63.5
22,-66.5
23,-69.5
24,-66.0
25,-66.0
26,-61.0
27,-65.0
28,-59.0
29,-46.5
30,-42.5
31,-48.5
32,-55.5
33,-56.0
34,-54.0
35,-64.0
36,-56.5
37,-58.5
38,-63.0
39,-61.0
40,-52.0
41,-46.5
42,-40.0
43,-41.5
44,-53.0
45,-53.0
46,-55.0
47,-59.5
48,-67.5
49,-65.0
50,-63.5
51,-67.5
52,-68.5
53,-58.0
54,-47.5
55,-50.5
56,-50.5
57,-47.0
58,-42.5
59,-50.5
60,-63.0
61,-67.0
